user_id,batch_week,challenge_start_date
user_001,6/27/2022,9/12/2022
user_002,6/27/2022,9/12/2022
user_003,6/6/2022,9/12/2022
user_004,6/27/2022,9/12/2022
user_005,6/6/2022,9/12/2022
user_006,6/27/2022,9/12/2022
user_007,6/27/2022,9/12/2022
user_008,6/13/2022,9/12/2022
user_009,6/13/2022,9/12/2022
user_010,6/13/2022,9/12/2022
user_011,6/27/2022,9/12/2022
user_012,6/27/2022,9/12/2022
user_013,6/27/2022,9/12/2022
user_014,6/27/2022,9/12/2022
user_015,6/27/2022,9/12/2022
user_016,6/27/2022,9/12/2022
user_017,6/13/2022,9/12/2022
user_018,6/13/2022,9/12/2022
user_019,6/13/2022,9/12/2022
user_020,6/13/2022,9/12/2022
user_021,6/13/2022,9/12/2022
user_022,6/27/2022,9/12/2022
user_023,6/13/2022,9/12/2022
user_024,6/27/2022,9/12/2022
user_025,6/27/2022,9/12/2022
user_026,6/27/2022,9/12/2022
user_027,6/27/2022,9/12/2022
user_028,6/27/2022,9/12/2022
user_029,6/13/2022,9/12/2022
user_030,6/13/2022,9/12/2022
user_031,6/27/2022,9/12/2022
user_032,6/13/2022,9/12/2022
user_033,6/27/2022,9/12/2022
user_034,6/27/2022,9/12/2022
user_035,6/27/2022,9/12/2022
user_036,6/27/2022,9/12/2022
user_037,6/13/2022,9/12/2022
user_038,6/13/2022,9/12/2022
user_039,6/27/2022,9/12/2022
user_040,6/27/2022,9/12/2022
user_041,6/27/2022,9/12/2022
user_042,6/13/2022,9/12/2022
user_043,6/27/2022,9/12/2022
user_044,6/13/2022,9/12/2022
user_045,6/13/2022,9/12/2022
user_046,6/13/2022,9/12/2022
user_047,6/13/2022,9/12/2022
user_048,6/13/2022,9/12/2022
user_049,6/13/2022,9/12/2022
user_050,6/13/2022,9/12/2022
user_051,6/13/2022,9/12/2022
user_052,6/13/2022,9/12/2022
user_053,6/27/2022,9/12/2022
user_054,6/27/2022,9/12/2022
user_055,6/13/2022,9/12/2022
user_056,6/13/2022,9/12/2022
user_057,6/13/2022,9/12/2022
user_058,6/27/2022,9/12/2022
user_059,6/27/2022,9/12/2022
user_060,6/27/2022,9/12/2022
